,Recipe Name,Description,Prep Time,Cook Time,Serving Size,Group,Calories,Fat,Cholesterol,Sodium,Carbohydrate,Protein,Sugar,Fiber,Ingredients,Instructions
10,Pasta e Fagioli,"
                This flavorful recipe for pasta e fagioli is a gift from the pantry staple meal gods. Open some cans and a box of pasta and you’re halfway there! Extra flavor comes from pancetta and parmesan.
            ",15,35,8, Dairy-Free Kid Friendly,317,6 g,15 mg,1059 mg,48 g,16 g,9 g,7 g,"4 ouncespancetta, diced
1medium yellow onion, finely chopped
1large carrot, finely diced (about 1 cup)
4cloves garlic, minced (about 1 tablespoon)
1 (15-ounce) cantomato sauce
1 (15-ounce) candiced tomatoes
4 cupschicken stock
1 teaspoonminced fresh rosemary
1 teaspoondried thyme
1 teaspoondried basil
1 teaspoonsugar
1 teaspoonsea salt, plus more for serving
¼ teaspoonfreshly cracked black pepper, plus more for serving
1 cupdry ditalini pasta or other small pasta shape
2 (15-ounce) canscannellini or great northern beans, drained and rinsed
½ cupfreshly grated Parmesan cheese, plus more for serving
Minced flat leaf parsley, for serving (optional)
Crusty bread, for serving (optional)
","Add the pancetta to a large pot over medium heat and cook, stirring, until browned, about 5 minutes. Using a slotted spoon, transfer the pancetta to a paper towel-lined plate. Drain off all but 2 tablespoons of the fat from the pot. Add the onion and carrot and cook, stirring, until softened, 4 minutes. Add the garlic and cook, stirring, until fragrant, 1 minute more. Stir in the tomato sauce, diced tomatoes, chicken stock, rosemary, thyme, basil, sugar, salt, pepper, and 2 cups of water. Increase the heat to high and bring to a boil. Stir in the pasta, reduce the heat to medium, and simmer until the pasta is al dente, 15-18 minutes. Add in the beans, Parmesan cheese and pancetta and cook, stirring, until warmed through, about 2 minutes more. Divide between 8 bowls. Top each with parsley (if using), parmesan, salt, and pepper to taste. Serve with crusty bread on the side if using. "
11,Chicken Pot Pie Soup,"
                This chicken pot pie soup is everything you love about the classic dish–it’s rich and creamy, and the perfect thing to eat on a chilly evening. We serve with biscuits so we don’t miss a single drop.
            ",15,40,6, Kid Friendly One Pot,461,22 g,127 mg,523 mg,39 g,26 g,10 g,5 g,"½ cup (1 stick)salted butter
4medium carrots, ¼-inch slices (about 2 cups)
3celery ribs, cut into ¼-inch slices (about 1 cup)
1 cupchopped yellow onion
2garlic cloves, minced
⅓ cupall-purpose flour
6 cupschicken stock
1 poundyukon gold potatoes, peeled and cut into ½-inch cubes
1 teaspoonkosher salt
½ teaspoonfreshly cracked black pepper, plus more for serving
½ teaspooncelery seed
1 teaspoongarlic powder
1 teaspoonminced fresh thyme or ½ teaspoon dried thyme
2 cupswhole milk
2 cupsfrozen peas
4 cups¼ cupItalian parsley, finely chopped, plus more for serving
","Melt the butter in a large pot over medium-high heat. Add the carrots, celery, and onion. Cook, stirring occasionally, until the vegetables are tender, 6 to 7 minutes. Stir in the garlic and cook until fragrant, about 1 minute more. Sprinkle in the flour and cook, stirring constantly, until a thick paste has formed, about 2 minutes. Slowly stir in the chicken stock. Add the potatoes, salt, pepper, celery seed, garlic powder, and thyme. Bring to a boil over medium-high heat, then reduce the heat to low. Simmer, stirring often, until the potatoes are tender and the soup begins to thicken, 15 to 20 minutes.Stir in the milk, peas, and chicken. Return to a boil over medium-high heat. Reduce the heat to medium-low and simmer until the peas and chicken are warmed through, about 5 minutes more. Stir in the parsley.Divide the soup among six bowls. Top with parsley and pepper to serve. "
12,Vegetable Soup,"
                A classic vegetable soup recipe, to carry you through fall and keep you cozy and warm well into the chill of winter. Start with our recipe, and then riff with your favorite veggies forever after!
            ",15,40,6, Dairy-Free Gluten Free Low-Carb Vegan Vegetarian One Pot,119,6 g,0 mg,324 mg,15 g,3 g,8 g,4 g,"2 tablespoonsextra-virgin olive oil
1yellow onion, chopped (about 2 cups)
4celery ribs, chopped (about 2 cups)
3garlic cloves, minced
2 cupsdiced zucchini
6 ouncesfresh or frozen green beans, cut into 1 inch pieces (about 1 cup)
1 teaspoonkosher salt
1 teaspoondried thyme
2 teaspoonschili powder
¼ cuproughly chopped fresh basil, plus more for garnish
1 tablespoonbrown sugar (optional)
4 cupsvegetable or chicken stock
1 (28-ounce) canwhole tomatoes, crushed
1 (14-ounce) cantomato sauce
Freshly grated parmesan cheese (optional)
","Heat the oil in a large stockpot over medium-high heat. Once the oil is glistening, add the onion and celery and cook, stirring often, until the onion is translucent, about 4 minutes. Add the garlic, zucchini, and green beans and cook until the garlic is fragrant, about 2 more minutes.Stir in the salt, thyme, chili powder, basil, brown sugar, vegetable stock, tomatoes and their juice, tomato sauce, and 2 cups of water. Bring to a boil over high heat, then reduce the heat to low. Simmer until the zucchini and green beans are tender, about 30 minutes. Divide soup among 6 bowls. Garnish with basil and parmesan if using.Note: Don’t buy crushed tomatoes! Make sure you get whole tomatoes and crush them by hand in a bowl for delicious tomato chunks. "
13,Spinach and Artichoke Chicken Skillet,"
                It’s your favorite dip. And now it’s your favorite dinner. It’s our recipe for a creamy spinach and artichoke chicken skillet, and it pairs perfectly with crusty bread or a big bowl of pasta.
            ",20,25,4, One Pot,580,32 g,210 mg,1530 mg,23 g,13 g,6 g,6 g,"4boneless, skinless chicken breasts (1½ pounds)
2 teaspoonskosher salt
2 tablespoonsextra-virgin olive oil
4cloves garlic, minced
3 tablespoonssalted butter
2 tablespoonsflour
¾ cupchicken stock
1¼ cupswhole milk
4 ouncescream cheese, softened
2 cupsloosely packed spinach, roughly chopped
¼ cupchopped fresh basil or 2 teaspoons dried, plus more for serving
1 (14-ounce) canartichoke hearts, drained and chopped
½ cupfreshly grated Parmesan cheese, plus more for serving
Freshly cracked black pepper, for serving
Crusty bread, for serving
","Season the chicken all over with 1 teaspoon of the salt. Heat 1 tablespoon of the olive oil in a large skillet over medium heat. Once the oil is glistening, add the chicken. Cover and cook until the internal temperature registers 165°F on an instant read thermometer, 6 to 8 minutes per side. Transfer the chicken to a cutting board to rest. Add the remaining 1 tablespoon of olive oil to the skillet. Add the garlic and cook, stirring, until fragrant, about 1 minute. Add the butter and stir until melted.Sprinkle in the flour and cook, whisking, until fully incorporated, about 1 minute. Whisk in the chicken stock, milk, and cream cheese until fully incorporated. Bring to a simmer and cook, whisking until smooth and slightly thickened. Stir in the spinach, basil, artichoke hearts, and the remaining 1 teaspoon of salt until the spinach is wilted and the artichokes are warmed through, about 4-5 minutes. Stir in the Parmesan. Nestle the cooked chicken into the sauce and turn to coat. Sprinkle it with parmesan, basil, and pepper. Serve with crusty bread on the side. "
14,Dutch Apple Pie,"
                Spiced with cinnamon and nutmeg, and topped with a brown sugar and butter crumble topping, our Dutch apple pie is just screaming for a scoop of vanilla ice cream.
            ",40,1,8, Vegetarian Kid Friendly,619,27 g,65 mg,328 mg,88 g,4 g,55 g,6 g,"1 cup (2 sticks)salted butter
1¼ cupsall-purpose flour, plus more for dusting
½ cupwhite sugar
1 cup sugarpacked brown
2 tablespoonsfresh lemon juice (from 1 lemon)
2 teaspoonscinnamon
1 teaspoonground nutmeg
8Granny Smith apples, peeled and thinly sliced (about 2½ pounds)
11 teaspoonvanilla extract
","Preheat the oven to 425°F with a rack in the center position.Melt ½ cup of the butter in a large pot over medium heat. Add ¼ cup of the flour and stir until a paste forms, 1 to 2 minutes. Stir in the white sugar, lemon juice, ¼ cup water, ¼ cup of the brown sugar, 1 teaspoon of the cinnamon, and ½ teaspoon of nutmeg. Increase the heat to high and bring to a boil, stirring often. Reduce the heat to low and simmer until the sugars begin to dissolve, 3-5 minutes. Remove the pot from the heat. Add the sliced apples and toss to coat. On a lightly floured surface, roll out the pie dough into a 14-inch round. Carefully transfer the round to a 9-inch, deep dish pie plate. Gently press the dough into the bottom and sides without stretching. Trim the edges if necessary. Gently press the tines of a fork into the edge of the dough to crimp. Cut the remaining stick of butter into 8 pieces and add to the base of a food processor. Add the remaining 1 cup of flour, remaining ¾ cup of brown sugar, remaining 1 teaspoon of cinnamon, remaining ½ teaspoon of nutmeg and the vanilla. Pulse until pea size crumbles form, about 8-10 times. Spoon the apple filling, including the liquid, into the prepared dough, forming a slight mound in the center. Evenly top the apple filling with the streusel. Place the pie plate on a rimmed sheet pan and bake for 15 minutes. Reduce the oven temperature to 350°F and continue baking, until the crust and streusel are golden brown and the filling is bubbling, about 45 minutes more. If the pie crust or streusel begins browning too quickly, tend the pie loosely with foil.Cool on a baking rack for at least 2 hours before serving.Note: If you don’t have a food processor, use a large bowl and a pastry cutter to cut the remaining stick of butter into the flour, brown sugar, cinnamon, nutmeg and vanilla until pea size crumbles form."
15,Roasted Cauliflower,"
                Roasted cauliflower is a gift for all the vegetable lovers in your life. It’s easy to make and tastes so good you’ll have to stop yourself from eating it directly from the baking sheet.
            ",15,45,6, Gluten Free Low-Carb Vegetarian Kid Friendly Sheet Pan,195,13 g,12 mg,615 mg,18 g,3 g,11 g,2 g,"1 large headcauliflower (about 2 pounds), cut into small florets (about 8 cups)
¼ cupextra-virgin olive oil
1 teaspoonkosher salt
1 teaspoongarlic powder
1 teaspoonsmoked paprika
¼ teaspooncrushed red pepper flakes
⅔ cupfreshly grated Parmesan cheese
","Preheat the oven to 425°F with a rack in the center position.On a large rimmed sheet pan, toss the cauliflower with the olive and arrange in a single layer. Evenly sprinkle the cauliflower with the salt, garlic powder, and red pepper flakes.Roast the cauliflower for 20 minutes. Remove the sheet pan from the oven. Turn the cauliflower and roast for another 10 minutes, or until browned and tender. Remove the sheet pan from the oven. Sprinkle with Parmesan cheese, then roast until the cheese is melted and browned, about 5 minutes more. "
16,Pumpkin Pancakes,"
                Celebrate pumpkin spice season with these fluffy pumpkin pancakes. Cinnamon, ginger, and allspice come together with canned pumpkin puree for the best homemade pumpkin pancakes.
            ",10,20,6, Vegetarian 30 Minutes Kid Friendly,437,23 g,118 mg,767 mg,49 g,9 g,13 g,3 g,"1½ cupswhole milk
1 cuppumpkin puree
2large eggs
6 tablespoonsunsalted butter, melted
2 teaspoonsvanilla extract
2 cupsall-purpose flour
2 teaspoonsbaking powder
½ teaspoonbaking soda
¼ cupgranulated sugar
1 teaspoonsea salt
1½ teaspoonground allspice
1 tablespoonground cinnamon
1 teaspoonground ginger
4 tablespoonssalted butter, plus more for serving
Maple syrup, for serving
","In a large bowl, whisk together the milk, pumpkin puree, eggs, melted butter, and vanilla.In a medium bowl, whisk together the flour, baking powder, baking soda, sugar, salt, allspice, cinnamon, and ginger. Slowly whisk the dry ingredients into the wet ingredients until just combined. Don’t over mix. Heat a griddle or large skillet over medium heat. Add 1 tablespoon of salted butter. Once the butter is melted, using a ¼ cup measure, scoop the batter onto the griddle about 3 inches apart. Cook until small bubbles appear, 2 to 3 minutes. Flip and continue cooking until golden brown , about 2 minutes more. Repeat with remaining salted butter and batter. Divide onto plates and serve warm with butter and maple syrup."
17,Pork Chops with Asparagus and a Lemon Sage Cream Sauce,"
                Juicy browned pork chops and tender asparagus in the creamiest lemon sage sauce are what’s for dinner. There’s parmesan in the sauce, and we like to grate more on top when it’s time to eat!
            ",15,35,4, Gluten Free Low-Carb,812,53 g,292 mg,864 mg,9 g,68 g,4 g,3 g,"4 (1½-inch thick)boneless pork chops (about 2½ pounds total)
1½ teaspoonskosher salt
2 tablespoonsextra-virgin olive oil
2 tablespoonssalted butter
¾ poundasparagus, ends trimmed and cut in half
1large shallot, finely diced
6sage leaves, minced
2cloves garlic, minced
1 cupheavy cream
½ cupchicken stock
½ cupfreshly grated Parmesan cheese
1 teaspoonfresh lemon zest (from 1 lemon)
2 teaspoonslemon juice
Freshly cracked black pepper
","Let the pork chops rest at room temperature for 30 minutes. Preheat the oven to 425°F with a rack in the center position. Season the pork chops all over with 1 teaspoon of the salt. Heat 1 tablespoon of the oil in a large, ovenproof skillet over medium-high. Once the oil is glistening, add the pork chops and sear until golden brown on both sides and edges, about 10 minutes. Meanwhile, in a medium bowl, toss the asparagus with the remaining 1 tablespoon of oil and remaining ½ teaspoon of salt. Arrange the asparagus around the pork and transfer the skillet to the oven. Roast until the asparagus is tender and the internal temperature of the pork reaches 145°F on an instant-read thermometer, about 12 minutes. Transfer to a serving platter. Add the butter to the same skillet over medium heat. Once the butter has melted, add the shallot and cook, stirring, until softened, about 4 minutes. Add the garlic and sage and cook, stirring until fragrant, about another minute. Add the heavy cream, chicken stock, parmesan, lemon zest, lemon juice, and pepper. Cook, stirring until the sauce has thickened enough to coat the back of a wooden spoon, 4-5 minutes more. Pour the sauce over the pork chops and asparagus and serve. "
18,Onion Chive Biscuits,"
                These onion chive biscuits aren’t just for breakfast. They’re delicious on their own with a big pat of butter, with all your favorite breakfast fixings, or for dipping into soups and stews.
            ",25,20,9,,268,14 g,38 mg,747 mg,28 g,6 g,1 g,1 g,"2½ cupsall-purpose flour, plus more for dusting
1 tablespoonbaking powder
½ teaspoonbaking soda
1½ teaspoonssea salt
2 tablespoonsdried minced onion (optional)
10 tablespoonscold unsalted butter, sliced
½ cupfreshly grated Parmesan cheese
1 cupcold buttermilk, plus more for brushing
½ cupchopped chives
½ cupchopped green onions
","Preheat the oven to 450°F with a rack in the center position. Line a rimmed sheet pan with parchment paper. To a food processor, add the flour, baking powder, baking soda, salt, and minced onion if using. Pulse 2 to 3 times until combined. Add the butter and Parmesan and pulse until pea-sized crumbles form. Add the buttermilk and pulse 8 times, or until a shaggy dough forms. Remove the dough from the food processor and place on a lightly floured surface. Using your hands, mix the chives and green onions into the dough until just combined and the dough is a little less sticky.Using your hands press the dough into a rectangle, about 1-inch thick. Fold the rectangle into thirds and press into a 1-inch thick rectangle. Repeat folding and pressing 3 more times. Using a 2½- inch biscuit cutter, cut out 8 dough rounds or use a sharp knife to cut 9 dough squares. Gather any dough scraps and pat into a 1-inch-thick dough round. (You should have 9 rounds or squares.) Arrange biscuits on the prepared sheet pan and brush with buttermilk. Bake for 18-20 minutes, or until golden brown. Let cool slightly before servingNote: If you don’t have a food processor, use your hands to mix the dough! When adding the butter you’ll want to pinch the mixture until you get the same pea-size crumbles or use a pastry cutter to cut in the butter. Just remember that your hands are much warmer than a food processor so keep an eye out that your butter doesn't soften too much ! You don’t want to overwork the dough."
19,Lemony Calabrian Chili Pasta,"
                A Calabrian chili pasta dish highlighting our favorite DeLallo products from Italy, including the freshest Italian Tomato Purée, Crushed Calabrian chilis, and Shellbow noodles to scoop it all up.
            ",10,35,6, Kid Friendly,457,24 g,59 mg,788 mg,46 g,15 g,6 g,2 g,"1 tablespoonextra-virgin olive oil
3garlic cloves, grated
1 (24-ounce) jarDeLallo Italian Tomato Purée
2 tablespoonsDeLallo Chopped Calabrian Chilis, plus more for serving
1 teaspoonsea salt
¾ poundDeLallo Shellbows
1 cupheavy cream
1 cupgrated parmesan cheese, plus more for serving
2 teaspoonsgrated lemon zest
1 tablespoonfresh lemon juice (from 1 lemon)
Minced parsley, for serving (optional)
","Heat the olive oil in a large pot over medium. Once the oil is glistening, add the garlic and cook until fragrant, about 1 minute. Add the tomatoes, calabrian chilis, and salt and bring to a simmer. Reduce the heat to low and simmer until thickened, about 25 minutes. Meanwhile, bring a large pot of salted water to a boil over high heat. Add the pasta and cook, according to package instructions, until al dente. Drain. Add the heavy cream, parmesan, and lemon zest and juice to the tomato sauce and stir until the cheese melts and the sauce is creamy, 3-4 minutes.Add the pasta to the sauce and stir until coated. To serve, garnish with parsley, parmesan cheese, and calabrian chilis if desired."
20,Spinach Artichoke Bread,"
                Spinach artichoke isn’t *just* our favorite dip. And soup. It’s also our favorite cheesy bread. Regular garlic and cheese bread gets a very tasty vegetable upgrade with spinach and artichoke.
            ",15,20,8,,335,21 g,32 mg,482 mg,25 g,12 g,2 g,3 g,"1 tablespoonextra-virgin olive oil
1small shallot, minced
3 cupsbaby spinach, packed
1 (14-ounce) canquartered artichoke hearts, drained, roughly chopped
½ cupmayonnaise
4 ouncescream cheese
1 tablespoonfresh lemon juice (from 1 lemon)
1 teaspoongarlic powder
¼ teaspoonfreshly cracked black pepper
2 cupsgrated mozzarella
½ cupfreshly grated Parmesan cheese
1 loafcrusty bread, such as ciabatta or como
2 tablespoonsminced chives
","Preheat the oven to 400°F with a rack in the center position. Heat the olive oil in a large skillet over medium. Add the shallot and spinach and cook until softened, about 5 minutes. Transfer the mixture to a large bowl and let it cool slightly. Add the artichoke hearts, mayonnaise, cream cheese, lemon juice, garlic powder, pepper, 1¼ cups of the mozzarella, and ⅓ cup of the parmesan, stir to combine.Slice the bread in half lengthwise and arrange, cut sides up, on a rimmed baking sheet. Evenly spread the cut sides with the artichoke mixture, then sprinkle with the remaining ¾ cup mozzarella and remaining Parmesan cheese. Bake for 20-25 minutes, or until golden brown.Cut each piece into 4 slices. Sprinkle with chives and serve warm. "
21,Baked Teriyaki Meatballs with Roasted Broccoli,"
                Two sheet pans, a small pot, and a sharp knife is all you need to take weeknight dinner to new heights with this meatball recipe full of fresh ginger, garlic, scallions and homemade teriyaki sauce.
            ",20,25,6, Dairy-Free Kid Friendly Sheet Pan,626,38 g,232 mg,2311 mg,36 g,36 g,18 g,3 g,"2 poundsground pork
3large eggs
1 tablespoonfreshly grated ginger
4garlic cloves, minced
1 cuppanko breadcrumbs
3green onions, thinly sliced
2 teaspoonssea salt, divided
1 poundbroccoli, cut into florets
2 tablespoonsextra-virgin olive oil
Fresh cilantro, chopped (optional)
1 cupsoy sauce
1/2 cuphoney
3garlic cloves, minced
2 tablespoonminced fresh ginger
2 tablespoonchili paste
3 tablespoonsfresh lime juice (from 1 lime)
","Preheat the oven to 400°F with racks in the upper third and lower third positions. Grease a large rimmed sheet pan. Make the meatballs and broccoli. In a large bowl, combine the pork, eggs, ginger, garlic, panko, green onions, and 1 teaspoon of the salt. Mix well, then with wet hands, form meatballs (about 2 tablespoons each) and place on the prepared sheet pan. You should have about 35 meatballs. Place the broccoli on a second rimmed baking sheet and toss with the olive oil and the remaining 1 teaspoon of salt. Roast, swapping rack positions half way through, until meatballs are cooked through and broccoli is tender, 20-25 minutes.Make the teriyaki sauce. In a small saucepan, combine the soy sauce, 1/2 cup water, honey, garlic, ginger, chili paste, and lime juice. Bring to a boil, then reduce the heat to medium-low. Simmer, stirring frequently, until slightly thickened and foamy, about 10 minutes. Let cool slightly.Divide the meatballs and broccoli between 6 plates. Pour the sauce over the meatballs and broccoli and sprinkle with chopped cilantro. Serve. "
22,Parmesan Crusted Salmon,"
                Parmesan-panko crusted salmon feels fancy enough for fine dining, but is easy enough for weeknight dinner at home. Ready in under a half hour, it’s one of our favorite ways to prepare salmon.
            ",5,15,4, 30 Minutes,379,27 g,133 mg,530 mg,4 g,30 g,1 g,0 g,"¼ cuppanko breadcrumbs
½ teaspoongarlic powder
1 teaspoondried or fresh parsley
½ teaspoonsea salt
¼ teaspoonfreshly cracked black pepper
⅓ cupfreshly grated parmesan cheese
3 tablespoonsunsalted butter, melted (or extra virgin olive oil)
1 (1-pound)salmon fillet
Lemon wedges, for serving
","Preheat the oven to 400°F with a rack in the center position. Line a rimmed sheet pan with parchment paper. In a small mixing bowl, combine the panko, garlic powder, parsley, salt, pepper, and ¼ cup of the parmesan. Add 2 tablespoons of the butter and mix until fully combined using a fork or your hands. Place the salmon, skin side down, on the prepared sheet. Pat dry with a paper towel. Brush the salmon with the remaining 1 tablespoon of the butter and sprinkle with the parmesan mixture, gently pressing to adhere to the salmon. Sprinkle with the remaining parmesan. Bake until the panko is golden brown and the salmon easily flakes with a fork, 12 to 15 minutes. Divide the salmon among 4 plates. Serve with the lemon wedges on the side."
23,Slow Cooker Swimming Rama,"
                A coconut curry base gets a little zing from fish sauce and apple cider vinegar. Add greens and fluffy white rice and you’ve got our new favorite slow cooker meal.
            ",15,3,8, Dairy-Free Gluten Free Kid Friendly Slow Cooker,501,24 g,75 mg,652 mg,39 g,35 g,7 g,4 g,"¾ cupnatural, smooth peanut butter
1 (14-ounce) cancoconut cream
1 tablespoonred curry paste
3 tablespoonssoy sauce or tamari
3 tablespoonsbrown sugar
1 tablespoonfish sauce
2 tablespoonsapple cider vinegar
2 poundsboneless, skinless chicken breasts, cubed
6 cupsspinach
6 cupscooked rice, for serving
Fresh basil, roughly chopped (optional)
Crushed peanuts (optional)
Red pepper flakes (optional)
","In a small bowl, whisk together the peanut butter, coconut cream, red curry paste, soy sauce, brown sugar, fish sauce, and apple cider vinegar until combined. Pour the mixture into the bowl of a slow cooker. Add the chicken breasts and toss to combine with the sauce. Cook on low for 3 to 4 hours, or until chicken is cooked through. In the last 15 minutes of cooking, add the spinach and cook until wilted.Serve the rama over the cooked rice. Sprinkle with fresh basil, crushed peanuts, and chili flakes if using."
24,Kung Pao Mushrooms,"
                Kung Pao sauce hits all of the right notes–it’s a perfect blend of spicy, savory, and sweet. Kung Pao sauce is usually served with chicken, but we’ve made a great mushroom version.
            ",20,30,4, Dairy-Free Gluten Free Low-Carb Vegan Vegetarian,325,18 g,0 mg,1198 mg,29 g,14 g,11 g,6 g,"½ cuplow-sodium soy sauce or tamari
¼ cuprice vinegar or sherry vinegar
1½ tablespoonsbrown sugar
2 tablespoonscornstarch or arrowroot starch
2 poundsmushrooms, such as oyster, maitake, and/or shitake
1½ tablespoonsvegetable oil
1 tablespoontoasted sesame oil
1red bell pepper, diced
1green bell pepper, diced
1 bunchgreen onions, trimmed, cut into 3-inch pieces
½ cupraw peanuts
1½ teaspoonsfreshly grated ginger
6garlic cloves, minced
10dried red chili peppers, halved (or ¼ teaspoon chili flakes)
Cooked rice, for serving (optional)
","In a large bowl, combine the soy sauce, vinegar, brown sugar, and cornstarch until smooth. Add the mushrooms and toss to coat. Heat the vegetable oil in a large skillet over medium-high heat. Once the oil is glistening, working in batches, use a slotted spoon to transfer the mushrooms to the skillet in a single layer. Cook undisturbed, until golden and crispy on one side, about 4 minutes. Stir and continue cooking until mushrooms have softened, about 3 minutes more. Transfer the mushrooms to a plate. Reserve leftover marinade. Heat the sesame oil in the same skillet over medium heat. Once the oil is glistening, add the bell peppers and cook, stirring, until beginning to soften, about 4 minutes. Add the green onions, peanuts, ginger, garlic, and chili peppers; cook, stirring, until fragrant, about 2 minutes more. Return the mushrooms to the skillet, add the remaining marinade and stir to combine. Bring the sauce to a simmer, reduce the heat to medium-low and cook, stirring occasionally, until thickened, about 2-3 minutes. Serve over rice if using."
25,Almond and Currant Pilaf with Chicken,"
                Fluffy grains studded with almonds and currants, and juicy browned chicken thighs are gently simmered in spices and chicken stock. Served with a tangy yogurt sauce with warming spices.
            ",15,40,4, One Pot,727,34 g,197 mg,2082 mg,62 g,46 g,16 g,5 g,"2½ teaspoonssea salt
1¾ teaspoonsgarlic powder
1½ teaspoonspaprika
1½ teaspoonsground cumin
½ teaspoonsground cinnamon
⅓ cupsliced or slivered almonds
3 tablespoonsextra-virgin olive oil
6boneless, skinless chicken thighs (about 1¾ pounds)
3 tablespoonsunsalted butter
1 cupuncooked long grain rice
½ cuporzo pasta
4garlic cloves, thinly sliced
2½ cupschicken stock
⅓ cupdried currants
¾ teaspoonfreshly grated lemon zest
¾ cupplain Greek yogurt
1½ tablespoonsfresh lemon juice (from 1 lemon)
2 tablespoonsminced fresh parsley (optional)
","In a small bowl, combine 1¼ teaspoons of the salt, 1 teaspoon of the garlic powder, ½ of the teaspoon paprika, ½ of the teaspoon cumin, and ¼ teaspoon of the cinnamon. Season the chicken all over with the spice mixture. Heat a large, deep skillet or Dutch oven over medium heat. Add the almonds and cook, stirring, until golden brown, about 3 minutes. Transfer the almonds to a second small bowl. Add 1 tablespoon of the oil to the skillet. Once the oil is glistening, add the chicken and cook until golden brown, 4 to 5 minutes per side. Transfer the chicken to a plate. Add the butter to the pot. Once the butter has melted, add the rice and orzo. Cook, stirring, until lightly browned, about 3 minutes, then add the garlic and cook, stirring, until fragrant, about 1-2 minutes. Stir in the chicken stock, currants, lemon zest, and ½ teaspoon of the salt, then increase the heat to medium high and bring to a boil, scraping the bottom of the skillet. Return the chicken back to the skillet. Reduce the heat to low, cover, and simmer until the rice is tender and the liquid has been absorbed, 20 to 25 minutes. Meanwhile, in a small bowl, combine the yogurt, lemon juice, remaining 2 tablespoons of the olive oil, remaining 1 teaspoon of the paprika, remaining 1 teaspoon of the cumin, remaining ¾ teaspoon of the garlic powder, remaining ¾ teaspoon of the salt, and remaining ¼ teaspoon of the cinnamon.Divide the pilaf among four bowls, then sprinkle with the almonds and parsley if using. Serve the sauce on the side. "
26,Grilled Pork Chop Caprese,"
                Dinner couldn’t be easier, or fresher, than this beautiful pork chop caprese. All you need is a  simple seasoning and less than ten minutes on the grill for this fabulous summer recipe.
            ",10,10,6, Gluten Free Kid Friendly,322,20 g,87 mg,532 mg,6 g,31 g,4 g,1 g,"1½ teaspoonskosher salt, plus more to taste
¾ teaspoonfreshly cracked black pepper, plus more to taste
¾ teaspoongarlic powder
1 tablespoonbrown sugar
1 teaspoondried basil
2 tablespoonsextra-virgin olive oil
6 (1-inch thick)boneless pork chops (about 2¼ pounds total)
1 (8-ounce)ball fresh mozzarella, thinly sliced
2Roma tomatoes, sliced
2 tablespoons8 to 10basil leaves, thinly sliced or roughly chopped
","Preheat the grill (or a grill pan) on medium-high heat. In a small bowl, mix together the salt, pepper, garlic powder, brown sugar, and basil until fully combined.Drizzle the olive oil over the pork chops and sprinkle with the seasoning blend on both sides.Place the pork on the grill or grill pan and cook for 4-5 minutes. Flip the chops and top with the mozzarella slices, then cover the grill (or pan) and cook 3 to 4 minutes more, or until the cheese begins to melt and the internal temperature of the pork reaches 145°F on an instant-read thermometer. Transfer the pork to a plate to rest.Top each chop with the tomato, then season with the salt and pepper to taste. Drizzle with the balsamic glaze and garnish with the basil to serve."
